,accuracy,precision,recall,f1_score,cv_mean,cv_std
Logistic Regression,0.5675,0.599858959811424,0.5675,0.542199338264744,0.5706106110326444,0.01656505291692457
Random Forest,0.985,0.9851985294117648,0.985,0.9845739736119483,0.9931207004377735,0.005379815676699593
Gradient Boosting,0.995,0.9950735294117646,0.995,0.994899470899471,0.9949968730456535,0.00707548999311116
SVM,0.9475,0.9491679818271765,0.9475,0.9473139096928561,0.8712690281613273,0.021650192090715455
