,accuracy,precision,recall,f1_score,cv_mean,cv_std
Logistic Regression,0.9625,0.9629186796975844,0.9625,0.9625332077337039,0.9581250000000001,0.010193441518937574
Random Forest,0.9675,0.9684061314085869,0.9675,0.9676282331770674,0.968125,0.006673173907519583
Gradient Boosting,0.9725,0.9734441763011188,0.9725,0.9726081271421194,0.965625,0.003952847075210478
SVM,0.9475,0.9493106885993021,0.9475,0.9474539624370134,0.9481249999999999,0.01128466880329238
